"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PH5194206180","harvb101","BLG","7","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19420618","0","PHI17","PH5","l","regular","y"
"NY5194206300","harvb101","BLG","9","2","value","1","1","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19420630","0","BEL02","NY5","l","exhibition","y"
"PH5194207010","harvb101","BLG","9","2","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420701","0","HRB01","PH5","l","exhibition","y"
"NY6194207110","harvb101","BLG","9","1","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420711","0","HRB01","NY6","w","exhibition","y"
"NY6194207130","harvb101","BLG","","","value","","","0","0","","","","0","","","","","","","","","","","","","","","19420713","0","POR01","NY6","l","exhibition",""
"NY6194207170","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19420717","0","RIC04","NY6","l","exhibition",""
"BLG194207191","harvb101","BLG","9","2","value","1","1","1","1","0","0","0","0","0","","0","0","0","0","0","","","0","","","","","19420719","1","BAL14","NY5","w","regular","y"
"BLG194207192","harvb101","BLG","8","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420719","2","BAL14","NY5","l","regular","y"
"BLG194207240","harvb101","BLG","7","3","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420724","0","BAL14","NW2","l","regular","y"
"HOM194207261","harvb101","BLG","8","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","","19420726","1","WAS09","HOM","l","regular","y"
"BLG194207270","harvb101","BLG","","","value","","","0","0","","","","0","","","","","","","","","","","","","","","19420727","0","BAL14","BIR","w","exhibition",""
"NW2194208200","harvb101","BLG","","","value","","","0","1","","","","","","","","","","","","","","","","","","","19420820","0","POR01","NW2","w","exhibition",""
"NW2194208200","harvb101","BLG","","","lower","","1","0","1","","","","","","","","","","","","","","","","","","","19420820","0","POR01","NW2","w","exhibition",""
"BLG194208220","harvb101","BLG","9","5","value","1","0","1","0","0","0","0","0","0","","1","0","0","","1","","","0","","","","","19420822","0","PHI17","NW2","l","regular","y"
"BLG194208232","harvb101","BLG","9","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","1","0","","","0","","","","","19420823","2","BAL14","NY6","w","exhibition","y"
"BLG194208302","harvb101","BLG","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420830","2","BAL14","NY5","w","regular","y"
"BLG194209061","harvb101","BLG","9","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420906","1","BAL14","PH5","w","regular","y"
"PH5194209071","harvb101","BLG","9","1","value","4","4","1","1","0","1","0","0","0","","0","0","0","","0","","","0","","","","","19420907","1","PHI17","PH5","w","regular","y"
"BLG194210010","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19421001","0","BAL14","HOM","l","exhibition",""
"HOM194305040","harvb101","BLG","","","value","","","","1","1","","","2","","","","","","","","","","","","","","","19430504","0","DAY03","HOM","w","exhibition",""
"HOM194305040","harvb101","BLG","","","lower","","1","","1","1","","","2","","","","","","","","","","","","","","","19430504","0","DAY03","HOM","w","exhibition",""
"BLG194305091","harvb101","BLG","9","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","","19430509","1","BAL14","CI2","l","exhibition","y"
